id,company_name,contact_person_name,stage_id,estimated_value
"1","Predovic, Mann and Bode","Margret Purdy","3","88831.35"
"2","Cruickshank LLC","Marie Mann","2","15374.57"
"3","Cummerata, Lindgren and Kshlerin","Ramona Barton","1","13770.86"
"4","Lynch, Oberbrunner and Murazik","Ashton Dooley","6","84318.96"
"5","Dickinson, Connelly and Wisoky","Fernando Kuhic","3","77685.62"
"6","Koch, Ritchie and Stokes","Karen Pagac I","3","28533.36"
"7","Hane - Smitham","April Friesen","5","25777.30"
"8","Schoen and Sons","Miss Rochelle Von","4","59714.40"
"9","Wuckert - Johnston","Mr. Jazmyn Zemlak","4","89698.61"
"10","Langworth, Bailey and Hand","Erin Hintz","6","8151.18"
"11","Mayer - Bahringer-Leffler","Oral Erdman","4","45120.00"
"12","Schmeler - Goyette","Shane Nitzsche-Crooks","2","97515.02"
"13","Osinski Group","Cathy Bahringer","3","36556.39"
"14","Weimann LLC","Brenda Koch","6","8506.81"
"15","Goldner-Weber Inc","Mavis Rohan","6","5365.80"
"16","Nolan LLC","Belle Koss","6","21413.63"
"17","Howell, McGlynn and Raynor","Luna Bins","6","61163.46"
"18","Pagac - Lebsack","Travis Blick","2","49012.89"
"19","Langosh and Sons","Mrs. Elizabeth Daugherty","5","1525.38"
"20","Fisher-Stokes, Haley and Mohr","Edward Koelpin-Breitenberg","3","42762.41"
"21","Bednar, Barrows and Hettinger","Martin Grimes","6","72480.98"
"22","Jakubowski - Schamberger","Demond Russel","6","15752.04"
"23","Okuneva, Smith and Breitenberg","Kirstin Bernier","1","75490.39"
"24","Kshlerin - Dickens","Peggy Bayer","2","44907.77"
"25","Langworth - Feest","Christian Herman-Borer","1","20013.27"
"26","Kerluke-King - Bayer","Melissa Osinski","5","39727.57"
"27","Hagenes Inc","Lolita Bartell","4","21967.02"
"28","Durgan, Lockman and Satterfield","Ceasar Funk","3","75000.44"
"29","Schuppe, Gutmann and Paucek","Orin Hessel Jr.","4","40791.10"
"30","Ferry Group","Anthony Huels","6","51100.20"
"31","Wuckert - Mohr","Angelo Denesik","5","75007.46"
"32","Grimes Inc","Raquel Swift","2","64214.35"
"33","Schiller, Legros and Murphy","Bridgette Becker","1","81534.80"
"34","Pacocha - Deckow","Trent Feil","2","62531.34"
"35","Feeney Inc","Roman Paucek","2","6472.35"
"36","Becker-Effertz - Legros","Luis Bogan","4","11281.84"
"37","Hammes - Lynch","Mr. Fred Zboncak Jr.","2","71106.94"
"38","Kunze, Koepp and Nolan","Mr. Orville Ratke","6","3974.38"
"39","Nolan, Blick and Konopelski","Audrey Koch","4","41871.52"
"40","Kulas, Streich and Davis","Bethany Ferry IV","4","39008.78"
"41","Schinner Group","Mr. Steve Hermann","3","24765.24"
"42","Wyman and Sons","Veronica Effertz","2","63803.02"
"43","Ebert Inc","Dr. Schuyler Carter","4","80831.51"
"44","Kuvalis and Sons","Fredy Swift","5","64568.88"
"45","Thiel, Hilpert-Auer and Grady","Lavern Runolfsdottir","1","25817.80"
"46","Schroeder, Dietrich and Dare","Edmund Flatley","2","58753.68"
"47","Lakin and Sons","Felix Abernathy","1","86182.40"
"48","Lowe, Kling and Doyle","Tyra Funk","5","99465.51"
"49","Goldner Inc","Edmund Willms","4","40219.85"
